ind,origin,destination,flow
0,彰化縣大村鄉,南投縣中寮鄉,2.0
1,台南縣左鎮鄉,高雄縣旗山鎮,3.0
2,高雄市小港區,屏東縣萬巒鄉,5.0
3,嘉義縣布袋鎮,嘉義縣布袋鎮,24824.0
4,台中縣大里市,台中縣烏日鄉,1455.0
5,嘉義縣朴子市,台南縣下營鄉,2.0
6,南投縣草屯鎮,台中市西區,345.0
7,彰化縣大村鄉,彰化縣福興鄉,90.0
8,嘉義縣東石鄉,嘉義縣義竹鄉,7.0
9,台中市南屯區,彰化縣大村鄉,27.0
10,高雄縣桃源鄉,嘉義縣阿里山,5.0
11,高雄縣永安鄉,台南縣新市鄉,13.0
12,高雄縣路竹鄉,高雄縣岡山鎮,1667.0
13,桃園縣觀音鄉,桃園縣龜山鄉,111.0
14,南投縣草屯鎮,台中縣潭子鄉,54.0
15,台中縣潭子鄉,彰化縣和美鎮,15.0
16,苗栗縣卓蘭鎮,台中市中區,134.0
17,台南縣學甲鎮,台南市西區,51.0
18,台南縣白河鎮,嘉義縣大林鎮,56.0
19,高雄縣茄萣鄉,高雄市左營區,36.0
20,台南縣山上鄉,高雄縣六龜鄉,1.0
21,屏東縣泰武鄉,屏東縣潮州鎮,206.0
22,台中縣大肚鄉,台中縣新社鄉,11.0
23,高雄縣岡山鎮,台南市中區,123.0
24,台北縣中和市,台北縣八里鄉,79.0
25,屏東縣麟洛鄉,高雄市小港區,97.0
26,屏東縣霧台鄉,屏東縣萬巒鄉,1.0
27,台南縣白河鎮,台南縣善化鎮,27.0
28,台北縣板橋市,桃園縣平鎮市,181.0
29,雲林縣虎尾鎮,彰化縣溪州鄉,10.0
30,台北縣中和市,桃園縣大溪鎮,220.0
31,彰化縣社頭鄉,彰化縣員林鎮,2855.0
32,台北縣樹林市,台北縣板橋市,4371.0
33,苗栗縣造橋鄉,新竹市北區,96.0
34,台中縣后里鄉,台中縣大雅鄉,179.0
35,基隆市信義區,台北縣三芝鄉,3.0
36,台北縣瑞芳鎮,基隆市中山區,250.0
37,彰化縣彰化市,台中市西屯區,1438.0
38,彰化縣溪州鄉,雲林縣林內鄉,7.0
39,屏東縣高樹鄉,屏東縣九如鄉,43.0
40,雲林縣東勢鄉,彰化縣埤頭鄉,1.0
41,台北縣萬里鄉,台北縣淡水鎮,71.0
