,fullname,posx,posy
0,台北縣板橋市,295194.484,2766984.125
1,台北縣三重市,298098.813,2773458.625
2,台北縣中和市,299356.344,2764805.625
3,台北縣永和市,301074.047,2766766.875
4,台北縣新莊市,292525.578,2769602.25
5,台北縣新店市,303089.266,2758145.875
6,台北縣樹林市,289220.578,2763984.375
7,台北縣鶯歌鎮,284414.922,2761058.375
8,台北縣三峽鎮,290333.016,2751772.875
9,台北縣淡水鎮,295914.969,2786424.875
10,台北縣汐止市,316028.234,2775411.25
11,台北縣瑞芳鎮,333631.547,2776107.375
12,台北縣土城市,294117.016,2762285.25
13,台北縣蘆洲市,296867.234,2775802.0
14,台北縣五股鄉,293095.828,2776743.75
15,台北縣泰山鄉,290805.797,2771885.125
16,台北縣林口鄉,284356.563,2777091.625
17,台北縣深坑鄉,311821.719,2765844.625
18,台北縣石碇鄉,314460.844,2760572.375
19,台北縣坪林鄉,321830.141,2756455.5
20,台北縣三芝鄉,300219.672,2791653.375
21,台北縣石門鄉,305942.375,2794681.75
22,台北縣八里鄉,290791.219,2779860.125
23,台北縣平溪鄉,325758.625,2769041.75
24,台北縣雙溪鄉,332980.594,2766071.875
25,台北縣貢寮鄉,341272.134,2770849.125
26,台北縣金山鄉,310341.656,2790380.125
27,台北縣萬里鄉,314589.328,2785674.875
28,台北縣烏來鄉,306329.484,2742098.125
29,宜蘭縣宜蘭市,325845.469,2738376.25
30,宜蘭縣羅東鎮,327651.906,2731325.75
31,宜蘭縣蘇澳鎮,335910.619,2715653.5
32,宜蘭縣頭城鎮,335695.609,2754965.125
33,宜蘭縣礁溪鄉,322155.625,2745431.625
34,宜蘭縣壯圍鄉,330399.531,2739638.75
35,宜蘭縣員山鄉,317411.219,2737124.125
36,宜蘭縣冬山鄉,325387.781,2727055.625
37,宜蘭縣五結鄉,329414.688,2730839.875
38,宜蘭縣三星鄉,316277.266,2729475.75
39,宜蘭縣大同鄉,304010.875,2715669.125
40,宜蘭縣南澳鄉,314396.781,2706949.5
41,桃園縣桃園市,279050.406,2765701.5
42,桃園縣中壢市,270290.188,2763427.375
43,桃園縣大溪鎮,279557.766,2751728.375
44,桃園縣楊梅鎮,261624.758,2756644.75
45,桃園縣蘆竹鄉,278798.0,2772049.375
46,桃園縣大園鄉,270618.0,2772967.375
47,桃園縣龜山鄉,284779.734,2768409.5
48,桃園縣八德市,278630.063,2760251.0
49,桃園縣龍潭鄉,270281.094,2749017.875
50,桃園縣平鎮市,271153.563,2757344.625
51,桃園縣新屋鄉,256760.711,2763354.125
52,桃園縣觀音鄉,258829.359,2768507.375
53,桃園縣復興鄉,285746.781,2734598.125
54,新竹縣竹北市,249106.953,2747454.5
55,新竹縣竹東鎮,256722.867,2734998.245
56,新竹縣新埔鎮,258012.25,2747915.25
57,新竹縣關西鎮,269199.563,2742162.375
58,新竹縣湖口鄉,254964.695,2754500.0
59,新竹縣新豐鄉,248930.359,2755340.25
60,新竹縣芎林鄉,259546.563,2740394.125
61,新竹縣橫山鄉,264445.937,2733406.375
62,新竹縣北埔鄉,255769.875,2729724.625
63,新竹縣寶山鄉,249433.148,2737440.875
64,新竹縣峨眉鄉,249854.547,2729694.0
65,新竹縣尖石鄉,277737.984,2721311.25
66,新竹縣五峰鄉,263199.234,2719928.75
67,苗栗縣苗栗市,230103.813,2717142.5
68,苗栗縣苑裡鎮,217224.305,2700467.25
69,苗栗縣通霄鎮,219323.008,2709432.0
70,苗栗縣竹南鎮,237206.664,2732125.75
71,苗栗縣頭份鎮,241734.258,2729350.25
72,苗栗縣後龍鎮,226519.609,2723342.75
73,苗栗縣卓蘭鎮,233274.609,2691425.375
