ind,origin,destination,flow
0,p02,s08,2.0
1,m14,f13,3.0
2,g10,r27,5.0
3,n16,n16,24824.0
4,i15,i10,1455.0
5,n11,m28,2.0
6,s09,t06,345.0
7,p02,p06,90.0
8,n08,n15,7.0
9,t03,p02,27.0
10,f21,n14,5.0
11,f14,m29,13.0
12,f04,f01,1667.0
13,a08,a01,111.0
14,s09,i07,54.0
15,i07,p17,15.0
16,e12,t01,134.0
17,m15,l06,51.0
18,m07,n10,56.0
19,f10,g04,36.0
20,m26,f26,1.0
21,r00,r16,206.0
22,i04,i08,11.0
23,f01,l05,123.0
24,u22,u19,79.0
25,r19,g10,97.0
26,r09,r27,1.0
27,m07,m24,27.0
28,u05,a12,181.0
29,k04,p10,10.0
30,u22,a02,220.0
31,p14,p22,2855.0
32,u10,u05,4371.0
33,e08,j00,96.0
34,i18,i19,179.0
35,q06,u08,3.0
36,u03,q03,250.0
37,p19,t02,1438.0
38,p10,k02,7.0
39,r25,r30,43.0
40,k11,p05,1.0
41,u00,u26,71.0
42,m28,m12,155.0
43,o12,o11,116.0
44,n10,p10,1.0
45,p25,p16,3.0
46,u24,h08,1728.0
47,u10,h05,377.0
48,p13,i05,42.0
49,r18,f07,48.0
50,r07,r16,167.0
51,p00,p02,11.0
52,r24,r26,124.0
53,r13,r04,1.0
54,f11,l02,33.0
55,r01,g02,55.0
56,i04,p01,1.0
57,m16,l02,157.0
58,p14,k02,18.0
59,u27,u03,11.0
60,m14,m25,2.0
61,r19,r07,13.0
62,e03,e12,9.0
63,b04,b02,31.0
64,u05,a01,1946.0
65,f00,l03,65.0
66,p10,p09,784.0
67,f18,r06,1.0
68,u02,u26,395.0
69,r05,r11,365.0
70,q03,u09,29.0
71,r23,g01,108.0
72,m11,m06,418.0
73,h10,u09,182.0
74,l00,l03,2323.0
75,k15,s10,30.0
76,f26,m14,1.0
77,m19,m22,4186.0
78,r13,r02,8.0
79,u21,a03,144.0
80,p02,p12,72.0
81,h10,h00,6530.0
82,n03,m07,9.0
83,h00,q03,43.0
84,m04,l05,197.0
85,i06,p17,3.0
86,t07,i09,105.0
87,s08,p11,45.0
88,e05,i09,17.0
89,l06,f10,31.0
90,q04,u07,30.0
91,v12,a00,73.0
92,t04,p01,3.0
93,e16,e06,1575.0
94,t05,i04,53.0
95,v11,v05,57.0
96,p13,p07,57.0
97,u06,u13,104.0
98,i17,t03,541.0
99,q01,u02,2063.0
100,i10,p01,6.0
101,e03,i20,1.0
102,f12,f07,35.0
103,p16,p12,19.0
104,f03,g06,18.0
105,m09,f10,83.0
106,u03,h01,316.0
107,i06,i01,152.0
108,k00,k00,26552.0
109,p07,i00,26.0
110,m12,m17,7.0
111,v08,v06,165.0
112,u09,h09,2716.0
113,l01,f10,357.0
114,k03,p13,3.0
115,f26,r24,5.0
116,r21,r16,26.0
117,s03,p18,6.0
118,k05,p03,8.0
119,r24,m19,6.0
120,u18,u19,53.0
121,a07,v09,5.0
122,u12,h04,20.0
123,u00,q01,428.0
124,m02,m21,18.0
125,i15,i14,115.0
126,i16,e07,16.0
127,p14,k15,5.0
128,r00,r19,7.0
129,i09,i15,363.0
130,u13,q03,54.0
131,p20,k04,36.0
132,p19,p19,195761.0
133,u08,u22,52.0
134,g07,g05,175.0
135,f13,f05,214.0
136,p20,p14,90.0
137,l05,f15,99.0
138,u12,h06,28.0
139,f06,r17,504.0
140,i14,t00,179.0
141,m20,m04,13.0
142,a09,u17,292.0
143,m23,m18,107.0
144,h11,h03,11628.0
145,g05,f06,294.0
146,m21,m24,9.0
147,g07,f03,1.0
148,p10,s10,15.0
149,r16,r19,200.0
150,r27,r18,15.0
151,f25,g01,573.0
152,m04,m26,12.0
153,t04,t07,1440.0
154,n12,k18,3.0
155,n02,f24,3.0
156,r23,g00,60.0
157,u06,u20,123.0
158,e08,e10,51.0
159,u15,h04,570.0
160,m28,n00,4.0
161,r27,r03,22.0
162,d00,k08,166.0
